dataset,pipeline,nDCG@10,MRR@10,Recall@10,MAP@10,avg_time_sec,total_time_sec,num_queries,nDCG@5,MRR@5,Recall@5,MAP@5,nDCG@20,MRR@20,Recall@20,MAP@20,candidate_recall@100
NF-Corpus,BM25,0.3063166634178476,0.5089709568037741,0.15215322723953334,0.2190009015302027,0.0042633233715183095,1.3770534490004138,323,0.3340282209356321,0.49974200206398345,0.11504958852884167,0.26805125558995524,0.27825306681864587,0.5102816027779364,0.17211582383677057,0.1788066173421888,0.23593575733867203
NF-Corpus,BM25 + BGE-Reranker,0.3086198979913505,0.5272986387537472,0.14275815581196638,0.21934006058563774,3.0413384212352663,982.352310058991,323,0.34384362106590227,0.5207946336429309,0.11539787810593043,0.274281045751634,0.28010951028286113,0.529832945912847,0.16717424372711995,0.17801232513094575,0.23593575733867203
SciFact,BM25,0.6518925893260478,0.6186150793650793,0.7739999999999999,0.6069746031746032,0.024356026446679002,7.3068079340037,300,0.6360323817543188,0.6132222222222222,0.7284444444444444,0.5991055555555556,0.6671837373495229,0.6223286290163226,0.8322777777777778,0.6114599323019602,0.8730555555555556
SciFact,BM25 + BGE-Reranker,0.6949173586760305,0.6694444444444445,0.8018333333333334,0.6541265873015873,3.070878911233325,921.2636733699974,300,0.6769032434139426,0.663,0.7526111111111111,0.645,0.7064663090600636,0.6721738290948817,0.8457222222222223,0.6575806529727583,0.8730555555555556
TREC-COVID,BM25,0.5768166504188801,0.758,0.015292739774515774,0.5232023809523809,0.9838419497000541,49.192097485002705,50,0.6061504233729591,0.7513333333333334,0.007984425007992343,0.5738666666666666,0.524539930219631,0.7596666666666667,0.027364469660904226,0.44888194057404585,0.09357016333843252
TREC-COVID,BM25 + BGE-Reranker,0.6434426589114114,0.8715238095238095,0.01634120794010226,0.6056492063492063,3.906376155800026,195.3188077900013,50,0.6916537894853095,0.8686666666666666,0.009264692501597695,0.6867333333333333,0.6178235878475836,0.8715238095238095,0.031637164295584025,0.5590265481508516,0.09357016333843252
NF-Corpus,RRF BM25 + BGE,0.31771059015818054,0.5459826035677429,0.14811775459456925,0.22728193031598606,0.0,0.0,323,0.3549467579728998,0.540608875128999,0.12292448476952389,0.28559167526659784,0.2914265110765908,0.5476970094134306,0.17834907367116123,0.18676200749797772,
SciFact,RRF BM25 + BGE,0.6937523577022127,0.6593359788359788,0.8207777777777777,0.6468174603174603,0.0,0.0,300,0.676209403583719,0.6536111111111111,0.7695555555555555,0.6384722222222222,0.6993629371141192,0.6604850163453105,0.8396111111111111,0.6489826148796737,
TREC-COVID,RRF BM25 + BGE,0.6693209941109087,0.9256666666666666,0.017416988878737567,0.6296,0.0,0.0,50,0.7264658068608564,0.9256666666666666,0.009712608644919877,0.7263333333333334,0.6046543794817194,0.9256666666666666,0.03044698165587688,0.5379034442037152,
