dataset,metric,wilcoxon_statistic,p_value,mean_delta,median_delta,significant_at_0_05
NF-Corpus,nDCG@10,7923.0,0.9507746737572395,0.002303234573502897,0.0,False
NF-Corpus,MRR@10,2451.5,0.2882515525252717,0.018327681949972974,0.0,False
NF-Corpus,Recall@10,2440.5,0.09218465773549146,-0.00939507142756697,0.0,False
SciFact,nDCG@10,1241.5,0.00046646757258089,0.04302476934998273,0.0,True
SciFact,MRR@10,1171.0,0.0006540706200682993,0.05082936507936508,0.0,True
SciFact,Recall@10,80.0,0.06371604640968392,0.02783333333333333,0.0,False
TREC-COVID,nDCG@10,332.5,0.008778432021222672,0.06662600849253121,0.07064158544010019,True
TREC-COVID,MRR@10,65.0,0.04344768748859608,0.11352380952380953,0.0,True
TREC-COVID,Recall@10,220.0,0.047272946391042465,0.001048468165586487,0.001502140127732545,True
